job_title,country,salary,doj,dob
Support Engineer,USA,62026.12,2023-10-03,1984-11-21
Junior Developer,Netherlands,51292.70,2017-03-21,1996-03-31
Finance Manager,Japan,128769.91,2019-10-25,1972-02-27
Junior Developer,Switzerland,46171.72,2017-02-05,1981-09-05
Marketing Manager,Mexico,84111.54,2021-08-04,1990-10-30
Project Manager,South Africa,80336.83,2016-08-19,1980-06-27
Software Engineer,UK,83492.50,2018-04-08,1985-12-31
Compliance Officer,UK,112133.02,2018-08-08,1979-06-17
Customer Success Manager,Ireland,94745.39,2024-02-07,1984-09-07
Finance Manager,Ireland,91285.52,2021-09-16,1976-04-26
Technical Writer,Norway,68073.71,2022-07-01,1977-05-15
Scrum Master,Switzerland,86533.63,2021-02-11,1988-10-06
Project Manager,Switzerland,92826.21,2021-06-01,1999-06-20
Software Engineer,UAE,66476.59,2020-04-11,1986-06-03
DevOps Engineer,Brazil,102095.51,2022-12-08,1981-09-02
Data Analyst,UK,57170.81,2020-01-20,1996-06-14
Frontend Developer,UK,82929.05,2024-09-12,1979-03-30
HR Manager,Denmark,83805.02,2020-02-07,1972-05-08
Accountant,Canada,64853.24,2017-03-11,1985-06-06
UX Designer,Brazil,70374.39,2021-02-05,1979-05-21
Product Manager,Norway,120707.14,2023-02-22,1995-04-09
Machine Learning Engineer,France,121820.78,2023-04-25,1991-01-02
IT Specialist,New Zealand,59307.74,2017-01-16,1978-07-08
Software Engineer,Singapore,72620.75,2022-10-02,1983-09-10
VP of Engineering,UAE,201828.04,2018-05-16,1986-07-24
Financial Analyst,South Africa,69961.01,2017-03-06,1974-05-01
UI Designer,UK,60173.14,2020-08-20,1978-09-26
Financial Analyst,Japan,67695.17,2016-10-01,2000-05-15
Support Engineer,Japan,70994.95,2015-09-20,1999-07-18
Customer Success Manager,Sweden,77663.54,2018-02-18,1985-07-21
Compliance Officer,New Zealand,76623.69,2019-11-06,1997-07-27
UX Designer,South Africa,100616.45,2016-11-11,1996-05-08
Business Analyst,UK,65955.87,2021-08-30,1989-06-26
Support Engineer,Norway,74806.08,2016-10-17,1983-04-12
System Administrator,South Africa,71359.46,2016-11-09,1976-07-04
Frontend Developer,Norway,87177.54,2017-02-01,1988-11-16
Cloud Architect,Sweden,138721.29,2016-10-19,1972-08-28
Network Engineer,India,80112.81,2020-12-11,1998-06-01
Network Engineer,Singapore,88994.99,2024-07-30,1987-01-15
Operations Manager,New Zealand,76388.04,2017-07-02,1972-10-11
CTO,Switzerland,217990.35,2017-03-17,1971-02-22
Cloud Architect,South Africa,128737.16,2020-11-08,1997-05-14
Accountant,UAE,59158.70,2023-01-31,1995-03-13
Junior Developer,UAE,66521.01,2023-10-26,1997-11-28
Product Manager,Denmark,113748.58,2015-12-05,1990-07-25
Project Manager,Australia,103366.25,2017-03-17,1977-01-05
Finance Manager,Ireland,96058.93,2020-08-10,1990-12-14
System Administrator,India,83003.51,2018-08-25,1981-06-14
Software Engineer,Mexico,63070.20,2016-12-24,1970-07-01
DevOps Engineer,Australia,91122.73,2023-02-04,1984-02-05
UI Designer,Mexico,66789.32,2016-10-31,1974-01-09
Sales Manager,UAE,99479.36,2017-06-09,1981-08-04
Marketing Manager,Brazil,77596.74,2018-10-15,1999-05-16
Legal Counsel,Ireland,124000.24,2021-09-29,1980-11-14
System Administrator,Switzerland,86421.43,2015-04-25,1975-02-19
Backend Developer,Mexico,74672.58,2019-04-26,1987-05-08
Scrum Master,India,75693.64,2016-08-15,1983-01-20
UI Designer,Norway,62764.30,2020-06-10,1974-02-02
UI Designer,Ireland,92262.30,2022-08-23,1973-02-02
Senior Software Engineer,UK,130048.57,2015-04-23,1997-04-10
Security Analyst,Singapore,97873.96,2023-08-26,1997-08-01
Machine Learning Engineer,Germany,131772.11,2021-07-07,1973-12-29
Software Engineer,Netherlands,74016.93,2024-08-30,1978-12-23
